student_id,material_id,rating,course,year,interests,avg_quiz_score
b4778631-df1e-4477-b03a-3b242d15d807,dd2cfc20-e3ab-4657-a400-274bfa6aeb79,3,CS,3,"['Networks', 'NLP']",54
f3124958-2bec-45be-b92f-336520a6a935,164b6d54-8496-4f6c-8844-33d736d760f9,2,EE,1,"['Blockchain', 'AI']",54
005cabb6-0724-47f2-8a6d-5584a5315d8c,41979f31-939f-4078-881f-dd734dea6e92,5,EE,3,"['AI', 'Networks']",82
b9be3df2-c4f5-4fa1-ab54-c0040c0bd267,4870d187-ce1b-4a7a-89b3-0ca22f73ccd2,2,CS,2,"['AI', 'ML']",65
c0a3fa21-daa9-41da-81d5-8053139548a3,a2b22710-2f93-409e-bede-57bc40f0b053,3,CE,4,"['NLP', 'Blockchain']",86
adc3ace9-df02-470a-9f06-86f9bb69d7d4,5671b8ec-9ef1-48b5-a068-f0c931eb4a2b,3,EE,4,"['ML', 'Networks']",88
7bd336af-54b2-4d4a-abc9-b5c8febd923c,8f93936b-2b60-49d5-a7e5-96874eb3d1f3,4,EE,1,"['NLP', 'Blockchain']",95
adbce348-b629-4aff-8eed-61bf53054b2f,7111a78a-bd9b-4def-957c-62fb4b6badeb,1,CS,3,"['AI', 'Networks']",98
8f614ab4-3ee5-4290-baec-17de20d76b29,601ead7b-bf19-42bd-b08a-4544477bfbbb,3,CS,3,"['Blockchain', 'AI']",82
054662bd-59bf-4bcd-977a-c95dfef3bcba,5b0319c2-a431-441d-915e-0bdc808fe9e7,1,CE,3,"['AI', 'Blockchain']",80
0f9119e7-b297-4d44-9b5f-30f30773f2d8,601ead7b-bf19-42bd-b08a-4544477bfbbb,5,CS,1,"['Networks', 'Blockchain']",66
2fb1cf15-220f-49ea-94e4-ca1a86fbcc41,c1291427-6f85-4940-bf2a-96f1812e2242,2,ME,3,"['Networks', 'NLP']",81
0a6300fb-baae-457f-8051-ed0c489078e5,e6b25aed-6850-44c2-8f6d-e7e444fc6f49,1,CS,2,"['ML', 'Networks']",66
1359f218-ad03-469a-b904-a50c2604b13e,5c35a5c4-0de1-4200-bfc6-d271058ce872,4,ME,2,"['Networks', 'NLP']",82
adc3ace9-df02-470a-9f06-86f9bb69d7d4,9aaf5cae-3e4c-45ce-a75e-0cf361c2a070,1,EE,4,"['ML', 'Networks']",88
fd5a35a3-84fb-4f70-a74a-1ceaba05d757,898877c4-3a17-41f3-b743-633d1fcccfe7,2,EE,1,"['NLP', 'Networks']",52
626a728a-2e5b-4ec9-8d33-0840d61d85ea,cfe99b65-c192-41df-b6f3-679500effa26,5,CS,1,"['NLP', 'AI']",77
b2db025c-2dce-4b53-8efe-cf5a80e98690,785b171b-2c90-4f3e-85d8-55822d4399ec,3,ME,1,"['ML', 'NLP']",67
6b8036e0-b3eb-4aa3-a2a1-f5e0272ef316,90257ea9-c1d0-4f3c-a2e3-ba0301f194da,1,ME,1,"['NLP', 'AI']",75
d82686d0-2199-461f-9562-2189fc90fd6c,1cd1ee27-6c4f-46a0-be34-a227aad7f761,2,CE,4,"['ML', 'Blockchain']",60
130c862a-d58e-403d-b367-b663ad5b8778,c8b1950c-47a3-48a4-a9d6-cf33835faccf,4,ME,3,"['NLP', 'Networks']",60
270b950d-1484-4874-8d34-9320a6d07cca,fbc6eb60-8db1-4696-9e33-090fa4a277a7,5,EE,1,"['AI', 'Blockchain']",95
a41421f1-946a-4975-93b9-b308a8e2d11c,9272669f-78f9-4ec2-a733-04fa29a4b521,2,EE,2,"['NLP', 'AI']",66
11c5c80e-985f-4306-9853-d70e1fae613b,130a3428-5257-405b-8c49-d5f4b147c3fb,2,ME,1,"['AI', 'Networks']",54
8781620c-7950-4605-a956-6f21d7f6aeaf,07749475-16ac-463d-a470-85c425701326,5,ME,2,"['ML', 'Blockchain']",71
311eeea8-51cb-49bb-88ad-f1249002ea70,3d00c5e8-5015-4f6c-ad6a-b950d8a0f45b,1,CE,2,"['ML', 'Networks']",61
85a3040c-3726-490e-a9f5-08a1cb5d3379,cd48ade3-10af-487e-9dad-6663c4d5d8c8,3,EE,1,"['Networks', 'NLP']",98
07ec68ec-37cb-4213-8080-058fdf7c47d8,62ac0687-7a4e-46bb-9f60-97c53482a9ae,3,ME,3,"['NLP', 'Networks']",95
2eb1baf0-2b42-45e7-8fd2-b812c5677951,b14aa1bc-c41c-4a69-b5ae-bbb9b20d5a00,5,CS,2,"['Blockchain', 'AI']",57
0c867e8c-9148-4c3d-bf01-7f5769fe1fba,62ac0687-7a4e-46bb-9f60-97c53482a9ae,3,CS,3,"['AI', 'ML']",93
11c5c80e-985f-4306-9853-d70e1fae613b,46cd8fe6-ee7d-47ec-a660-4270e8be6bab,4,ME,1,"['AI', 'Networks']",54
f09c1eda-3d2c-4cdb-a742-e7aa0acf7d9d,3d4ba6ee-5ddf-4a68-a42e-ba7821493ec2,4,EE,3,"['Blockchain', 'NLP']",84
48b2a0a3-7263-4b53-9829-bb5e9a4806ac,aa06e9ad-40af-41dc-b4af-a0630f03256f,1,ME,1,"['ML', 'Blockchain']",98
409bf957-83c9-4cc9-b14b-02dfb704ebbb,1e97aee4-d18a-42b4-ad4d-d8c6ff1720c1,5,CS,4,"['NLP', 'ML']",67
c298cef9-c2d3-477f-bb30-14965e3b119d,d14a046e-71f9-491b-894e-eb6d677fa56e,5,CE,1,"['ML', 'NLP']",74
272b2f39-c95a-41af-b521-0823d17f1e1b,937a2d34-a83f-47df-a48d-1af94f725a1f,5,CS,3,"['Networks', 'NLP']",60
23beb132-6bd5-4595-996e-93f5b40bd81b,7bc34766-d682-4cd9-ae4c-4c48dbd6b10d,5,CS,4,"['NLP', 'ML']",81
3fc1d139-ee3e-4580-8ab9-e877b91a7853,45dc73aa-8d27-4810-95e1-4e121a38dec3,4,CE,4,"['ML', 'NLP']",81
237a2ffe-4024-413c-a465-5f97536b42a3,e5dc9c2e-a98a-4f09-89a7-836d9df98c7c,2,EE,2,"['NLP', 'AI']",69
68aea8e8-f8ef-4bd4-829a-57d9c7aa7fbd,f81cb996-7500-40f0-993b-0bc6cd536da5,5,EE,4,"['NLP', 'Networks']",59
db6b2e73-652c-438d-947a-0a023ba93e67,0e0bd385-ccb5-4238-970d-1e02a3c9a508,2,ME,1,"['AI', 'ML']",97
8226d1fb-0291-4560-9799-ef6a7b2be8df,eaf96ca5-4307-46c7-a1cd-d4f9ea3d6b5c,1,CE,4,"['Networks', 'ML']",87
7678e1fd-0808-4b4f-9d7b-dac7aea6970f,8b8844c6-aa9c-475f-823c-03adbf0d15ee,4,CE,1,"['NLP', 'Blockchain']",79
0e03f7a0-f73d-4671-b7c7-d27a61129275,9b6aa35b-242e-446a-9ba5-ff62772cb97b,1,CS,1,"['Blockchain', 'AI']",86
8e2d462b-702c-4551-bc8f-5c3ca8817e9b,4d1a7b4c-bd0e-40cd-92ee-cba12d87b71e,2,CS,1,"['NLP', 'ML']",50
e1f939bf-a87b-428a-91d7-6e7688b19d34,cc17dde2-a9d0-434e-a888-2bd86043b224,3,EE,2,"['ML', 'Networks']",58
a4231d0a-3aca-4784-abc4-0705395aa51d,a14ae2ff-c635-4148-93b8-6e92a61769cd,4,EE,1,"['AI', 'Networks']",85
34ba565a-6ded-4d80-bb63-b32242e695c3,a1bb34d1-aaa5-41f7-a8d1-d6f22254244e,2,CE,3,"['AI', 'Blockchain']",64
d1d35d67-7e8b-4475-808b-3b3faae6de04,2ef60b10-ed23-4b6d-89e4-bbac2106f80e,4,CE,3,"['NLP', 'ML']",62
f2e651b9-9661-4cd2-b98c-e4b3ac58e3d5,0e7c85d3-8e78-4266-91ab-12401446a557,3,CS,3,"['Networks', 'ML']",50
19fb6037-26d7-42cf-881b-019327451705,9eac0bdb-bb20-4dd2-9947-08a9c480cd36,2,CE,1,"['ML', 'AI']",51
2a7d87e7-29cf-4f27-a30d-78072093799b,73a0746d-4a77-45c2-bdc7-2ee31e57c1e6,1,CE,1,"['NLP', 'Blockchain']",93
241bbd7b-bd72-4b31-9d65-09e10f441c9e,4d7ac913-3960-421a-a9f8-4f42420aed99,1,EE,2,"['AI', 'Networks']",77
ef37d01d-2a20-41ed-ae0b-a15b7528a49c,6201a27f-660f-499b-8754-2428e68a26b1,2,EE,2,"['AI', 'Networks']",53
303003a3-da59-4acd-822e-a60041971ef4,2ef60b10-ed23-4b6d-89e4-bbac2106f80e,4,CS,2,"['NLP', 'Networks']",83
adc3ace9-df02-470a-9f06-86f9bb69d7d4,4d0e8f45-651f-49b7-9467-68faabafd2d4,5,EE,4,"['ML', 'Networks']",88
