student_id,material_id,rating
b4778631-df1e-4477-b03a-3b242d15d807,dd2cfc20-e3ab-4657-a400-274bfa6aeb79,3
f3124958-2bec-45be-b92f-336520a6a935,164b6d54-8496-4f6c-8844-33d736d760f9,2
005cabb6-0724-47f2-8a6d-5584a5315d8c,41979f31-939f-4078-881f-dd734dea6e92,5
b9be3df2-c4f5-4fa1-ab54-c0040c0bd267,4870d187-ce1b-4a7a-89b3-0ca22f73ccd2,2
c0a3fa21-daa9-41da-81d5-8053139548a3,a2b22710-2f93-409e-bede-57bc40f0b053,3
adc3ace9-df02-470a-9f06-86f9bb69d7d4,5671b8ec-9ef1-48b5-a068-f0c931eb4a2b,3
7bd336af-54b2-4d4a-abc9-b5c8febd923c,8f93936b-2b60-49d5-a7e5-96874eb3d1f3,4
adbce348-b629-4aff-8eed-61bf53054b2f,7111a78a-bd9b-4def-957c-62fb4b6badeb,1
8f614ab4-3ee5-4290-baec-17de20d76b29,601ead7b-bf19-42bd-b08a-4544477bfbbb,3
054662bd-59bf-4bcd-977a-c95dfef3bcba,5b0319c2-a431-441d-915e-0bdc808fe9e7,1
0f9119e7-b297-4d44-9b5f-30f30773f2d8,601ead7b-bf19-42bd-b08a-4544477bfbbb,5
2fb1cf15-220f-49ea-94e4-ca1a86fbcc41,c1291427-6f85-4940-bf2a-96f1812e2242,2
0a6300fb-baae-457f-8051-ed0c489078e5,e6b25aed-6850-44c2-8f6d-e7e444fc6f49,1
1359f218-ad03-469a-b904-a50c2604b13e,5c35a5c4-0de1-4200-bfc6-d271058ce872,4
adc3ace9-df02-470a-9f06-86f9bb69d7d4,9aaf5cae-3e4c-45ce-a75e-0cf361c2a070,1
fd5a35a3-84fb-4f70-a74a-1ceaba05d757,898877c4-3a17-41f3-b743-633d1fcccfe7,2
626a728a-2e5b-4ec9-8d33-0840d61d85ea,cfe99b65-c192-41df-b6f3-679500effa26,5
b2db025c-2dce-4b53-8efe-cf5a80e98690,785b171b-2c90-4f3e-85d8-55822d4399ec,3
6b8036e0-b3eb-4aa3-a2a1-f5e0272ef316,90257ea9-c1d0-4f3c-a2e3-ba0301f194da,1
d82686d0-2199-461f-9562-2189fc90fd6c,1cd1ee27-6c4f-46a0-be34-a227aad7f761,2
130c862a-d58e-403d-b367-b663ad5b8778,c8b1950c-47a3-48a4-a9d6-cf33835faccf,4
270b950d-1484-4874-8d34-9320a6d07cca,fbc6eb60-8db1-4696-9e33-090fa4a277a7,5
a41421f1-946a-4975-93b9-b308a8e2d11c,9272669f-78f9-4ec2-a733-04fa29a4b521,2
11c5c80e-985f-4306-9853-d70e1fae613b,130a3428-5257-405b-8c49-d5f4b147c3fb,2
8781620c-7950-4605-a956-6f21d7f6aeaf,07749475-16ac-463d-a470-85c425701326,5
311eeea8-51cb-49bb-88ad-f1249002ea70,3d00c5e8-5015-4f6c-ad6a-b950d8a0f45b,1
